"2-CUP-WAP-4","2-119-01-1-17","基礎・社会医学棟 2F EV前廊下(270)"
"2-CUP-WAP-40","2-150-03-1-46","霞体育館 3F 廊下(372)"
"2-CUP-WAP-41","2-150-03-1-47","霞体育館 4F 格技場1(401)"
"2-CUP-WAP-42","2-150-03-1-48","霞体育館 4F 格技場2(402)"
"2-CUP-WAP-43","2-134-01-1-33","薬学研究棟 1F 107室"
"2-CUP-WAP-44","2-082-01-2-48","霞研究棟A 1F 歯学部長室(140)"
"2-CUP-WAP-45","2-082-01-2-48","霞研究棟A 1F 医系科学部長室(137)"
"2-CUP-WAP-46","2-082-01-2-48","霞研究棟A 1F 事務室（総務）(105)"
"2-CUP-WAP-47","2-082-01-2-48","霞研究棟A 1F 事務室(103)"
"2-CUP-WAP-48","2-150-01-5-20","臨床管理棟 1F 医科研修医研修室1(134)"
"2-CUP-WAP-49","2-150-01-5-21","臨床管理棟 1F 医科研修医研修室2(135)"
"2-CUP-WAP-5","2-131-01-1-53","臨床講義棟 1F 第4講義室(138)-3"
"2-CUP-WAP-50","2-150-02-1-22","臨床管理棟 2F 2F1会議室北側(236)"
"2-CUP-WAP-51","2-150-02-1-23","臨床管理棟 2F 2F1会議室南側(236)"
"2-CUP-WAP-52","2-150-03-6-23","臨床管理棟 3F 大会議室(3041)-1"
"2-CUP-WAP-53","2-150-03-6-24","臨床管理棟 3F 大会議室(3041)-2"
"2-CUP-WAP-54","2-150-03-6-48","臨床管理棟 3F 大会議室(3041)-3"
"2-CUP-WAP-60","2-151-01-3-02","中央研究棟 1F 小児科学事務室(122)"
"2-CUP-WAP-61","2-151-01-3-03","中央研究棟 1F 小児科学医局員室(125)"
"2-CUP-WAP-62","2-151-03-2-47","中央研究棟 3F 救急集中治療医学院生室(317)"
"2-CUP-WAP-63","2-151-03-2-47","中央研究棟 3F 救急集中治療医学研究室(326)"
"2-CUP-WAP-64","2-151-03-2-47","中央研究棟 3F 救急集中治療医学教員室(324)"
"2-CUP-WAP-65","2-151-03-2-47","中央研究棟 3F 腎泌尿器科学研究室(303)"
"2-CUP-WAP-66","2-151-03-2-46","中央研究棟 3F 腎泌尿器科学秘書室(309)"
"2-CUP-WAP-67","2-151-04-1-23","中央研究棟 4F 視覚病態学研究室・データ解析室1(406)"
"2-CUP-WAP-68","2-151-04-1-24","中央研究棟 4F 視覚病態学セミナー室(417)"
"2-CUP-WAP-69","2-119-04-1-48","基礎・社会医学棟 4F 分子病理学セミナー室(421)"
"2-CUP-WAP-7","2-182-01-2-06","保健学研究棟 1F 会議室前廊下(176)"
"2-CUP-WAP-70","2-119-05-1-48","基礎・社会医学棟 5F 神経生理学院生室(518)"
"2-CUP-WAP-71","2-030-07-1-48","霞総合研究棟 7F 生理学及び生物物理学セミナー室(701)"
"2-CUP-WAP-72","2-182-03-1-24","保健学研究棟 3F 看護学研究室2(304)"
